Path,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2,HIon,PRef
HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_v11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_NotMBHF2OR_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_BptxAND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_NotMBHF2AND_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_NotMBHF2AND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_NotMBHF2OR_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_NotMBHF2OR_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_v11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2AND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_v11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMBHF2OR_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuCosmic_BptxAND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuCosmic_NotMBHF2AND_v11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuOpen_BptxAND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_v11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleMuOpen_NotMBHF2AND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_BptxAND_SinglePixelTrack_MaxPixelTrack_v18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2AND_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2OR_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG3_NotMBHF2OR_SinglePixelTrack_MaxPixelTrack_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5_BptxAND_SinglePixelTrack_MaxPixelTrack_v18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG4_NotMBHF2AND_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5_NotMBHF2AND_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5er1p5_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG5er2p1_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG6er2p5_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG7er2p5_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleEG8er2p5_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2_BptxAND_SinglePixelTrack_MaxPixelTrack_v18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2_NotMBHF2AND_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG3_NotMBHF2AND_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG3_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG5_BptxAND_SinglePixelTrack_MaxPixelTrack_v18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG5_NotMBHF2AND_v13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2er1p5_DeltaPhi2p0_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2er2p1_DeltaPhi2p0_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2er1p5_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_DoubleEG2er2p1_NotMBHF2AND_MaxPixelCluster10000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet8_ZDC1nXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_ZDC1nXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_ZDC1nXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_ZDC1nXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet24_ZDC1nXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet28_ZDC1nXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet8_ZDC1nAsymXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_ZDC1nAsymXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_ZDC1nAsymXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_ZDC1nAsymXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet24_ZDC1nAsymXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet28_ZDC1nAsymXOR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet8_NotMBHF2AND_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_NotMBHF2AND_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_NotMBHF2AND_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_NotMBHF2AND_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet24_NotMBHF2AND_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet28_NotMBHF2AND_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZeroBias_MaxPixelCluster10000_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MaxPixelCluster10000_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nOR_MBHF1AND_PixelTrackMultiplicity20400_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIUPC_ZDC1nOR_MBHF1AND_PixelTrackMultiplicity30400_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIUPC_ZDC1nOR_MBHF1AND_PixelTrackMultiplicity40400_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIUPC_ZDC1nAND_NotMBHF2_MaxPixelCluster10000_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_MinPixelThrust0p8_MaxPixelCluster10000_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet8_NotZDC_OR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_NotZDC_OR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_NotZDC_OR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_NotZDC_OR_MaxPixelCluster10000_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
